company,financial_year,ytd_upto_month,segment,premium_ytd
Reliance General Insurance Co Ltd,FY25,MAY,fire,608.96
Reliance General Insurance Co Ltd,FY24,MAY,fire,541.1
Royal Sundaram General Insurance Co Ltd,FY25,MAY,fire,141.09
Royal Sundaram General Insurance Co Ltd,FY24,MAY,fire,115.47
SBI General Insurance Co Ltd,FY25,MAY,fire,463.34
SBI General Insurance Co Ltd,FY24,MAY,fire,415.13
Shriram General Insurance Co Ltd,FY25,MAY,fire,25.24
Shriram General Insurance Co Ltd,FY24,MAY,fire,21.24
Tata AIG General Insurance Co Ltd,FY25,MAY,fire,675.82
Tata AIG General Insurance Co Ltd,FY24,MAY,fire,720.43
The New India Assurance Co Ltd,FY25,MAY,fire,1489.31
The New India Assurance Co Ltd,FY24,MAY,fire,1120.14
The Oriental Insurance Co Ltd,FY25,MAY,fire,522.05
The Oriental Insurance Co Ltd,FY24,MAY,fire,457.52
United India Insurance Co Ltd,FY25,MAY,fire,557.02
United India Insurance Co Ltd,FY24,MAY,fire,445.64
Universal Sompo General Insurance Co Ltd,FY25,MAY,fire,150.32
Universal Sompo General Insurance Co Ltd,FY24,MAY,fire,106.79
Zuno General Insurance Co Ltd,FY25,MAY,fire,16.25
Zuno General Insurance Co Ltd,FY24,MAY,fire,15.35
Bajaj Allianz General Insurance Co Ltd,FY25,MAY,marine_total,101.24
Bajaj Allianz General Insurance Co Ltd,FY24,MAY,marine_total,85.79
Cholamandalam MS General Insurance Co Ltd,FY25,MAY,marine_total,38.23
Cholamandalam MS General Insurance Co Ltd,FY24,MAY,marine_total,35.1
Future Generali India Insurance Co Ltd,FY25,MAY,marine_total,30.24
Future Generali India Insurance Co Ltd,FY24,MAY,marine_total,30.24
Go Digit General Insurance Ltd,FY25,MAY,marine_total,24.03
Go Digit General Insurance Ltd,FY24,MAY,marine_total,22.62
HDFC Ergo General Insurance Co Ltd,FY25,MAY,marine_total,43.08
HDFC Ergo General Insurance Co Ltd,FY24,MAY,marine_total,44.55
ICICI Lombard General Insurance Co Ltd,FY25,MAY,marine_total,250.8
ICICI Lombard General Insurance Co Ltd,FY24,MAY,marine_total,261.76
IFFCO-Tokio General Insurance Co Ltd,FY25,MAY,marine_total,83.07
IFFCO-Tokio General Insurance Co Ltd,FY24,MAY,marine_total,70.09
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,MAY,marine_total,4.42
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,MAY,marine_total,3.1
Liberty  General Insurance Co. Ltd,FY25,MAY,marine_total,5.62
Liberty  General Insurance Co. Ltd,FY24,MAY,marine_total,6.36
Magma General Insurance Limited,FY25,MAY,marine_total,5.93
Magma General Insurance Limited,FY24,MAY,marine_total,6.4
National Insurance Co Ltd,FY25,MAY,marine_total,54.55
National Insurance Co Ltd,FY24,MAY,marine_total,55.51
Raheja QBE General Insurance Co Ltd,FY24,MAY,marine_total,0.04
Reliance General Insurance Co Ltd,FY25,MAY,marine_total,44.75
Reliance General Insurance Co Ltd,FY24,MAY,marine_total,47.78
Royal Sundaram General Insurance Co Ltd,FY25,MAY,marine_total,17.33
Royal Sundaram General Insurance Co Ltd,FY24,MAY,marine_total,13.99
SBI General Insurance Co Ltd,FY25,MAY,marine_total,28.92
SBI General Insurance Co Ltd,FY24,MAY,marine_total,25.96
Shriram General Insurance Co Ltd,FY25,MAY,marine_total,0.62
Shriram General Insurance Co Ltd,FY24,MAY,marine_total,0.37
Tata AIG General Insurance Co Ltd,FY25,MAY,marine_total,171.53
Tata AIG General Insurance Co Ltd,FY24,MAY,marine_total,159.14
The New India Assurance Co Ltd,FY25,MAY,marine_total,214.58
The New India Assurance Co Ltd,FY24,MAY,marine_total,181.4
The Oriental Insurance Co Ltd,FY25,MAY,marine_total,102.85
The Oriental Insurance Co Ltd,FY24,MAY,marine_total,94.64
United India Insurance Co Ltd,FY25,MAY,marine_total,65.1
United India Insurance Co Ltd,FY24,MAY,marine_total,66.95
Universal Sompo General Insurance Co Ltd,FY25,MAY,marine_total,16.72
Universal Sompo General Insurance Co Ltd,FY24,MAY,marine_total,22.75
Zuno General Insurance Co Ltd,FY25,MAY,marine_total,0.43
Zuno General Insurance Co Ltd,FY24,MAY,marine_total,0.13
Bajaj Allianz General Insurance Co Ltd,FY25,MAY,engineering,88.68
Bajaj Allianz General Insurance Co Ltd,FY24,MAY,engineering,87.33
Cholamandalam MS General Insurance Co Ltd,FY25,MAY,engineering,7.64
Cholamandalam MS General Insurance Co Ltd,FY24,MAY,engineering,7.97
Future Generali India Insurance Co Ltd,FY25,MAY,engineering,18.94
Future Generali India Insurance Co Ltd,FY24,MAY,engineering,15.09
Go Digit General Insurance Ltd,FY25,MAY,engineering,31.88
Go Digit General Insurance Ltd,FY24,MAY,engineering,16.93
HDFC Ergo General Insurance Co Ltd,FY25,MAY,engineering,79.7
HDFC Ergo General Insurance Co Ltd,FY24,MAY,engineering,52.36
ICICI Lombard General Insurance Co Ltd,FY25,MAY,engineering,227.5
ICICI Lombard General Insurance Co Ltd,FY24,MAY,engineering,189.27
IFFCO-Tokio General Insurance Co Ltd,FY25,MAY,engineering,60.54
IFFCO-Tokio General Insurance Co Ltd,FY24,MAY,engineering,48.41
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,MAY,engineering,3.91
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,MAY,engineering,2.14
Liberty  General Insurance Co. Ltd,FY25,MAY,engineering,7.39
Liberty  General Insurance Co. Ltd,FY24,MAY,engineering,5.8
Magma General Insurance Limited,FY25,MAY,engineering,6.5
Magma General Insurance Limited,FY24,MAY,engineering,1.99
National Insurance Co Ltd,FY25,MAY,engineering,86.57
National Insurance Co Ltd,FY24,MAY,engineering,72.6
Raheja QBE General Insurance Co Ltd,FY25,MAY,engineering,0.17
Raheja QBE General Insurance Co Ltd,FY24,MAY,engineering,0.2
Reliance General Insurance Co Ltd,FY25,MAY,engineering,121.2
Reliance General Insurance Co Ltd,FY24,MAY,engineering,104.08
Royal Sundaram General Insurance Co Ltd,FY25,MAY,engineering,13.06
Royal Sundaram General Insurance Co Ltd,FY24,MAY,engineering,13.53
SBI General Insurance Co Ltd,FY25,MAY,engineering,30.15
SBI General Insurance Co Ltd,FY24,MAY,engineering,25.2
Shriram General Insurance Co Ltd,FY25,MAY,engineering,4.15
Shriram General Insurance Co Ltd,FY24,MAY,engineering,4.2
Tata AIG General Insurance Co Ltd,FY25,MAY,engineering,52.8
Tata AIG General Insurance Co Ltd,FY24,MAY,engineering,41.6
The New India Assurance Co Ltd,FY25,MAY,engineering,202.31
The New India Assurance Co Ltd,FY24,MAY,engineering,135.16
The Oriental Insurance Co Ltd,FY25,MAY,engineering,83.1
The Oriental Insurance Co Ltd,FY24,MAY,engineering,71.88
United India Insurance Co Ltd,FY25,MAY,engineering,78.2
United India Insurance Co Ltd,FY24,MAY,engineering,74.43
Universal Sompo General Insurance Co Ltd,FY25,MAY,engineering,3.03
Universal Sompo General Insurance Co Ltd,FY24,MAY,engineering,2.43
Zuno General Insurance Co Ltd,FY25,MAY,engineering,0.3
Zuno General Insurance Co Ltd,FY24,MAY,engineering,1.03
Acko General Insurance Ltd,FY25,MAY,motor_total,154.27
Acko General Insurance Ltd,FY24,MAY,motor_total,131.77
Bajaj Allianz General Insurance Co Ltd,FY25,MAY,motor_total,1103.54
Bajaj Allianz General Insurance Co Ltd,FY24,MAY,motor_total,975.03
Cholamandalam MS General Insurance Co Ltd,FY25,MAY,motor_total,798.91
Cholamandalam MS General Insurance Co Ltd,FY24,MAY,motor_total,747.34
Future Generali India Insurance Co Ltd,FY25,MAY,motor_total,290.68
Future Generali India Insurance Co Ltd,FY24,MAY,motor_total,316.57
Go Digit General Insurance Ltd,FY25,MAY,motor_total,961.97
Go Digit General Insurance Ltd,FY24,MAY,motor_total,803.92
HDFC Ergo General Insurance Co Ltd,FY25,MAY,motor_total,379.82
HDFC Ergo General Insurance Co Ltd,FY24,MAY,motor_total,607.15
ICICI Lombard General Insurance Co Ltd,FY25,MAY,motor_total,1643.77
ICICI Lombard General Insurance Co Ltd,FY24,MAY,motor_total,1551.61
IFFCO-Tokio General Insurance Co Ltd,FY25,MAY,motor_total,614.18
IFFCO-Tokio General Insurance Co Ltd,FY24,MAY,motor_total,568.72
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,MAY,motor_total,150.75
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,MAY,motor_total,143.39
Liberty  General Insurance Co. Ltd,FY25,MAY,motor_total,249.23
Liberty  General Insurance Co. Ltd,FY24,MAY,motor_total,259.6
Magma General Insurance Limited,FY25,MAY,motor_total,328.99
Magma General Insurance Limited,FY24,MAY,motor_total,328.32
National Insurance Co Ltd,FY25,MAY,motor_total,834.66
National Insurance Co Ltd,FY24,MAY,motor_total,694.2
Navi General Insurance Co. Ltd,FY25,MAY,motor_total,0.22
Navi General Insurance Co. Ltd,FY24,MAY,motor_total,0.29
Raheja QBE General Insurance Co Ltd,FY25,MAY,motor_total,6.97
Raheja QBE General Insurance Co Ltd,FY24,MAY,motor_total,52.93
Reliance General Insurance Co Ltd,FY25,MAY,motor_total,620.96
Reliance General Insurance Co Ltd,FY24,MAY,motor_total,663.56
Royal Sundaram General Insurance Co Ltd,FY25,MAY,motor_total,361.76
Royal Sundaram General Insurance Co Ltd,FY24,MAY,motor_total,370.87
SBI General Insurance Co Ltd,FY25,MAY,motor_total,761.42
SBI General Insurance Co Ltd,FY24,MAY,motor_total,625.39
Shriram General Insurance Co Ltd,FY25,MAY,motor_total,551.1
Shriram General Insurance Co Ltd,FY24,MAY,motor_total,418.86
Tata AIG General Insurance Co Ltd,FY25,MAY,motor_total,1363.58
Tata AIG General Insurance Co Ltd,FY24,MAY,motor_total,1188.56
The New India Assurance Co Ltd,FY25,MAY,motor_total,1562.58
The New India Assurance Co Ltd,FY24,MAY,motor_total,1414.95
The Oriental Insurance Co Ltd,FY25,MAY,motor_total,673.54
The Oriental Insurance Co Ltd,FY24,MAY,motor_total,628.72
United India Insurance Co Ltd,FY25,MAY,motor_total,1528.8
United India Insurance Co Ltd,FY24,MAY,motor_total,1120.39
Universal Sompo General Insurance Co Ltd,FY25,MAY,motor_total,370.92
Universal Sompo General Insurance Co Ltd,FY24,MAY,motor_total,348.87
Zuno General Insurance Co Ltd,FY25,MAY,motor_total,82.35
Zuno General Insurance Co Ltd,FY24,MAY,motor_total,74.19
Acko General Insurance Ltd,FY25,MAY,health,194.17
Acko General Insurance Ltd,FY24,MAY,health,188.96
Bajaj Allianz General Insurance Co Ltd,FY25,MAY,health,938.5
Bajaj Allianz General Insurance Co Ltd,FY24,MAY,health,992.76
Cholamandalam MS General Insurance Co Ltd,FY25,MAY,health,195.03
Cholamandalam MS General Insurance Co Ltd,FY24,MAY,health,209.37
Future Generali India Insurance Co Ltd,FY25,MAY,health,303.16
Future Generali India Insurance Co Ltd,FY24,MAY,health,467.84
Go Digit General Insurance Ltd,FY25,MAY,health,257.87
Go Digit General Insurance Ltd,FY24,MAY,health,305.97
HDFC Ergo General Insurance Co Ltd,FY25,MAY,health,1022.85
HDFC Ergo General Insurance Co Ltd,FY24,MAY,health,999.86
ICICI Lombard General Insurance Co Ltd,FY25,MAY,health,1914.19
ICICI Lombard General Insurance Co Ltd,FY24,MAY,health,1842.35
IFFCO-Tokio General Insurance Co Ltd,FY25,MAY,health,150.96
IFFCO-Tokio General Insurance Co Ltd,FY24,MAY,health,150.3
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,MAY,health,224.84
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,MAY,health,105.88
Liberty  General Insurance Co. Ltd,FY25,MAY,health,119.35
Liberty  General Insurance Co. Ltd,FY24,MAY,health,59.45
Magma General Insurance Limited,FY25,MAY,health,174.42
Magma General Insurance Limited,FY24,MAY,health,163.08
National Insurance Co Ltd,FY25,MAY,health,969.34
National Insurance Co Ltd,FY24,MAY,health,981.5
Navi General Insurance Co. Ltd,FY25,MAY,health,27.63
Navi General Insurance Co. Ltd,FY24,MAY,health,8.1
Raheja QBE General Insurance Co Ltd,FY25,MAY,health,1.14
Raheja QBE General Insurance Co Ltd,FY24,MAY,health,7.86
Reliance General Insurance Co Ltd,FY25,MAY,health,755.04
Reliance General Insurance Co Ltd,FY24,MAY,health,510.83
Royal Sundaram General Insurance Co Ltd,FY25,MAY,health,278.54
Royal Sundaram General Insurance Co Ltd,FY24,MAY,health,170.75
SBI General Insurance Co Ltd,FY25,MAY,health,626.91
SBI General Insurance Co Ltd,FY24,MAY,health,395.36
Shriram General Insurance Co Ltd,FY25,MAY,health,1.43
Shriram General Insurance Co Ltd,FY24,MAY,health,0.45
Tata AIG General Insurance Co Ltd,FY25,MAY,health,723.57
Tata AIG General Insurance Co Ltd,FY24,MAY,health,483.57
The New India Assurance Co Ltd,FY25,MAY,health,4779.68
The New India Assurance Co Ltd,FY24,MAY,health,4185.66
The Oriental Insurance Co Ltd,FY25,MAY,health,1846.97
The Oriental Insurance Co Ltd,FY24,MAY,health,1527.76
United India Insurance Co Ltd,FY25,MAY,health,1442.67
United India Insurance Co Ltd,FY24,MAY,health,1777.51
Universal Sompo General Insurance Co Ltd,FY25,MAY,health,283.21
Universal Sompo General Insurance Co Ltd,FY24,MAY,health,104.77
Zuno General Insurance Co Ltd,FY25,MAY,health,61.92
Zuno General Insurance Co Ltd,FY24,MAY,health,61.29
Niva bupa health insurance company limited,FY25,MAY,health,1021.73
Niva bupa health insurance company limited,FY24,MAY,health,932.11
Aditya Birla Health Insurance Co Ltd,FY25,MAY,health,760.86
Aditya Birla Health Insurance Co Ltd,FY24,MAY,health,570.81
Care Health Insurance Ltd,FY25,MAY,health,1340.21
Care Health Insurance Ltd,FY24,MAY,health,1250.25
Galaxy Health Insurance Company Ltd,FY25,MAY,health,7.09
ManipalCigna Health Insurance Co Ltd,FY25,MAY,health,347.82
ManipalCigna Health Insurance Co Ltd,FY24,MAY,health,276.0
Narayana Health Insurance Ltd,FY25,MAY,health,1.19
Star Health & Allied Insurance Co Ltd,FY25,MAY,health,2237.67
Star Health & Allied Insurance Co Ltd,FY24,MAY,health,2150.49
Bajaj Allianz General Insurance Co Ltd,FY25,MAY,aviation,4.32
Bajaj Allianz General Insurance Co Ltd,FY24,MAY,aviation,3.36
Go Digit General Insurance Ltd,FY25,MAY,aviation,0.44
HDFC Ergo General Insurance Co Ltd,FY25,MAY,aviation,2.79
HDFC Ergo General Insurance Co Ltd,FY24,MAY,aviation,3.63
ICICI Lombard General Insurance Co Ltd,FY25,MAY,aviation,24.3
ICICI Lombard General Insurance Co Ltd,FY24,MAY,aviation,36.31
National Insurance Co Ltd,FY25,MAY,aviation,9.8
National Insurance Co Ltd,FY24,MAY,aviation,11.11
Reliance General Insurance Co Ltd,FY25,MAY,aviation,0.3
Reliance General Insurance Co Ltd,FY24,MAY,aviation,11.64
SBI General Insurance Co Ltd,FY25,MAY,aviation,0.04
SBI General Insurance Co Ltd,FY24,MAY,aviation,0.04
Tata AIG General Insurance Co Ltd,FY25,MAY,aviation,32.81
Tata AIG General Insurance Co Ltd,FY24,MAY,aviation,29.5
The New India Assurance Co Ltd,FY25,MAY,aviation,74.8
The New India Assurance Co Ltd,FY24,MAY,aviation,59.28
The Oriental Insurance Co Ltd,FY25,MAY,aviation,12.42
The Oriental Insurance Co Ltd,FY24,MAY,aviation,30.3
United India Insurance Co Ltd,FY25,MAY,aviation,4.65
United India Insurance Co Ltd,FY24,MAY,aviation,7.54
Acko General Insurance Ltd,FY25,MAY,liability,5.58
Acko General Insurance Ltd,FY24,MAY,liability,11.33
Bajaj Allianz General Insurance Co Ltd,FY25,MAY,liability,198.38
Bajaj Allianz General Insurance Co Ltd,FY24,MAY,liability,155.61
Cholamandalam MS General Insurance Co Ltd,FY25,MAY,liability,6.41
Cholamandalam MS General Insurance Co Ltd,FY24,MAY,liability,5.19
Future Generali India Insurance Co Ltd,FY25,MAY,liability,16.09
Future Generali India Insurance Co Ltd,FY24,MAY,liability,11.3
Go Digit General Insurance Ltd,FY25,MAY,liability,61.92
Go Digit General Insurance Ltd,FY24,MAY,liability,28.07
HDFC Ergo General Insurance Co Ltd,FY25,MAY,liability,170.32
HDFC Ergo General Insurance Co Ltd,FY24,MAY,liability,162.92
ICICI Lombard General Insurance Co Ltd,FY25,MAY,liability,246.89
ICICI Lombard General Insurance Co Ltd,FY24,MAY,liability,248.43
IFFCO-Tokio General Insurance Co Ltd,FY25,MAY,liability,55.79
IFFCO-Tokio General Insurance Co Ltd,FY24,MAY,liability,52.5
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,MAY,liability,0.49
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,MAY,liability,0.29
Liberty  General Insurance Co. Ltd,FY25,MAY,liability,8.01
Liberty  General Insurance Co. Ltd,FY24,MAY,liability,2.71
Magma General Insurance Limited,FY25,MAY,liability,12.85
Magma General Insurance Limited,FY24,MAY,liability,18.67
National Insurance Co Ltd,FY25,MAY,liability,41.48
National Insurance Co Ltd,FY24,MAY,liability,46.63
Raheja QBE General Insurance Co Ltd,FY25,MAY,liability,18.41
Raheja QBE General Insurance Co Ltd,FY24,MAY,liability,11.34
Reliance General Insurance Co Ltd,FY25,MAY,liability,28.83
Reliance General Insurance Co Ltd,FY24,MAY,liability,20.57
Royal Sundaram General Insurance Co Ltd,FY25,MAY,liability,4.09
Royal Sundaram General Insurance Co Ltd,FY24,MAY,liability,2.84
SBI General Insurance Co Ltd,FY25,MAY,liability,27.23
SBI General Insurance Co Ltd,FY24,MAY,liability,17.42
Shriram General Insurance Co Ltd,FY25,MAY,liability,1.8
Shriram General Insurance Co Ltd,FY24,MAY,liability,1.62
Tata AIG General Insurance Co Ltd,FY25,MAY,liability,247.67
Tata AIG General Insurance Co Ltd,FY24,MAY,liability,260.55
The New India Assurance Co Ltd,FY25,MAY,liability,143.4
The New India Assurance Co Ltd,FY24,MAY,liability,122.57
The Oriental Insurance Co Ltd,FY25,MAY,liability,31.82
The Oriental Insurance Co Ltd,FY24,MAY,liability,24.47
United India Insurance Co Ltd,FY25,MAY,liability,46.3
United India Insurance Co Ltd,FY24,MAY,liability,49.89
Universal Sompo General Insurance Co Ltd,FY25,MAY,liability,8.43
Universal Sompo General Insurance Co Ltd,FY24,MAY,liability,5.81
Zuno General Insurance Co Ltd,FY24,MAY,liability,0.02
Acko General Insurance Ltd,FY25,MAY,personal_accident,2.7
Acko General Insurance Ltd,FY24,MAY,personal_accident,1.64
Bajaj Allianz General Insurance Co Ltd,FY25,MAY,personal_accident,35.06
Bajaj Allianz General Insurance Co Ltd,FY24,MAY,personal_accident,40.8
Cholamandalam MS General Insurance Co Ltd,FY25,MAY,personal_accident,32.68
Cholamandalam MS General Insurance Co Ltd,FY24,MAY,personal_accident,65.73
Future Generali India Insurance Co Ltd,FY25,MAY,personal_accident,15.8
Future Generali India Insurance Co Ltd,FY24,MAY,personal_accident,18.93
Go Digit General Insurance Ltd,FY25,MAY,personal_accident,89.13
Go Digit General Insurance Ltd,FY24,MAY,personal_accident,240.06
HDFC Ergo General Insurance Co Ltd,FY25,MAY,personal_accident,113.14
HDFC Ergo General Insurance Co Ltd,FY24,MAY,personal_accident,76.35
ICICI Lombard General Insurance Co Ltd,FY25,MAY,personal_accident,89.57
ICICI Lombard General Insurance Co Ltd,FY24,MAY,personal_accident,127.68
IFFCO-Tokio General Insurance Co Ltd,FY25,MAY,personal_accident,19.68
IFFCO-Tokio General Insurance Co Ltd,FY24,MAY,personal_accident,20.47
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,MAY,personal_accident,10.73
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,MAY,personal_accident,10.66
Liberty  General Insurance Co. Ltd,FY25,MAY,personal_accident,4.45
Liberty  General Insurance Co. Ltd,FY24,MAY,personal_accident,4.57
Magma General Insurance Limited,FY25,MAY,personal_accident,15.01
Magma General Insurance Limited,FY24,MAY,personal_accident,6.45
National Insurance Co Ltd,FY25,MAY,personal_accident,42.78
National Insurance Co Ltd,FY24,MAY,personal_accident,40.73
Navi General Insurance Co. Ltd,FY25,MAY,personal_accident,0.29
Raheja QBE General Insurance Co Ltd,FY25,MAY,personal_accident,0.17
Raheja QBE General Insurance Co Ltd,FY24,MAY,personal_accident,0.11
Reliance General Insurance Co Ltd,FY25,MAY,personal_accident,67.06
Reliance General Insurance Co Ltd,FY24,MAY,personal_accident,49.44
Royal Sundaram General Insurance Co Ltd,FY25,MAY,personal_accident,12.79
Royal Sundaram General Insurance Co Ltd,FY24,MAY,personal_accident,13.07
SBI General Insurance Co Ltd,FY25,MAY,personal_accident,194.27
SBI General Insurance Co Ltd,FY24,MAY,personal_accident,135.27
Shriram General Insurance Co Ltd,FY25,MAY,personal_accident,19.64
Shriram General Insurance Co Ltd,FY24,MAY,personal_accident,17.83
Tata AIG General Insurance Co Ltd,FY25,MAY,personal_accident,37.3
Tata AIG General Insurance Co Ltd,FY24,MAY,personal_accident,32.98
The New India Assurance Co Ltd,FY25,MAY,personal_accident,99.64
The New India Assurance Co Ltd,FY24,MAY,personal_accident,81.4
The Oriental Insurance Co Ltd,FY25,MAY,personal_accident,750.12
The Oriental Insurance Co Ltd,FY24,MAY,personal_accident,395.39
United India Insurance Co Ltd,FY25,MAY,personal_accident,74.38
United India Insurance Co Ltd,FY24,MAY,personal_accident,58.1
Universal Sompo General Insurance Co Ltd,FY25,MAY,personal_accident,59.17
Universal Sompo General Insurance Co Ltd,FY24,MAY,personal_accident,51.93
Zuno General Insurance Co Ltd,FY25,MAY,personal_accident,2.21
Zuno General Insurance Co Ltd,FY24,MAY,personal_accident,5.22
Niva bupa health insurance company limited,FY25,MAY,personal_accident,15.88
Niva bupa health insurance company limited,FY24,MAY,personal_accident,17.64
Aditya Birla Health Insurance Co Ltd,FY25,MAY,personal_accident,23.77
Aditya Birla Health Insurance Co Ltd,FY24,MAY,personal_accident,41.21
Care Health Insurance Ltd,FY25,MAY,personal_accident,28.98
Care Health Insurance Ltd,FY24,MAY,personal_accident,28.06
Galaxy Health Insurance Company Ltd,FY25,MAY,personal_accident,0.62
ManipalCigna Health Insurance Co Ltd,FY25,MAY,personal_accident,6.59
ManipalCigna Health Insurance Co Ltd,FY24,MAY,personal_accident,4.72
Star Health & Allied Insurance Co Ltd,FY25,MAY,personal_accident,21.53
Star Health & Allied Insurance Co Ltd,FY24,MAY,personal_accident,23.31
Acko General Insurance Ltd,FY25,MAY,misc,13.61
Acko General Insurance Ltd,FY24,MAY,misc,10.93
Bajaj Allianz General Insurance Co Ltd,FY25,MAY,misc,246.65
Bajaj Allianz General Insurance Co Ltd,FY24,MAY,misc,258.1
Cholamandalam MS General Insurance Co Ltd,FY25,MAY,misc,8.56
Cholamandalam MS General Insurance Co Ltd,FY24,MAY,misc,61.36
Future Generali India Insurance Co Ltd,FY25,MAY,misc,37.61
Future Generali India Insurance Co Ltd,FY24,MAY,misc,64.75
Go Digit General Insurance Ltd,FY25,MAY,misc,48.14
Go Digit General Insurance Ltd,FY24,MAY,misc,65.59
HDFC Ergo General Insurance Co Ltd,FY25,MAY,misc,72.58
HDFC Ergo General Insurance Co Ltd,FY24,MAY,misc,97.83
ICICI Lombard General Insurance Co Ltd,FY25,MAY,misc,158.59
ICICI Lombard General Insurance Co Ltd,FY24,MAY,misc,141.23
IFFCO-Tokio General Insurance Co Ltd,FY25,MAY,misc,124.9
IFFCO-Tokio General Insurance Co Ltd,FY24,MAY,misc,113.65
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,MAY,misc,6.04
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,MAY,misc,7.17
Kshema General insurance,FY25,MAY,misc,345.63
Kshema General insurance,FY24,MAY,misc,281.5
Liberty  General Insurance Co. Ltd,FY25,MAY,misc,15.9
Liberty  General Insurance Co. Ltd,FY24,MAY,misc,21.26
Magma General Insurance Limited,FY25,MAY,misc,2.76
Magma General Insurance Limited,FY24,MAY,misc,1.3
National Insurance Co Ltd,FY25,MAY,misc,154.22
National Insurance Co Ltd,FY24,MAY,misc,157.19
Raheja QBE General Insurance Co Ltd,FY25,MAY,misc,0.03
Raheja QBE General Insurance Co Ltd,FY24,MAY,misc,0.03
Reliance General Insurance Co Ltd,FY25,MAY,misc,94.51
Reliance General Insurance Co Ltd,FY24,MAY,misc,261.81
Royal Sundaram General Insurance Co Ltd,FY25,MAY,misc,4.21
Royal Sundaram General Insurance Co Ltd,FY24,MAY,misc,4.3
SBI General Insurance Co Ltd,FY25,MAY,misc,46.43
SBI General Insurance Co Ltd,FY24,MAY,misc,53.76
Shriram General Insurance Co Ltd,FY25,MAY,misc,9.66
Shriram General Insurance Co Ltd,FY24,MAY,misc,2.96
Tata AIG General Insurance Co Ltd,FY25,MAY,misc,185.28
Tata AIG General Insurance Co Ltd,FY24,MAY,misc,89.33
The New India Assurance Co Ltd,FY25,MAY,misc,404.96
The New India Assurance Co Ltd,FY24,MAY,misc,362.79
The Oriental Insurance Co Ltd,FY25,MAY,misc,79.88
The Oriental Insurance Co Ltd,FY24,MAY,misc,50.47
United India Insurance Co Ltd,FY25,MAY,misc,123.22
United India Insurance Co Ltd,FY24,MAY,misc,119.07
Universal Sompo General Insurance Co Ltd,FY25,MAY,misc,17.32
Universal Sompo General Insurance Co Ltd,FY24,MAY,misc,139.55
Zuno General Insurance Co Ltd,FY25,MAY,misc,2.94
Zuno General Insurance Co Ltd,FY24,MAY,misc,2.31
Star Health & Allied Insurance Co Ltd,FY25,MAY,misc,0.01
Star Health & Allied Insurance Co Ltd,FY24,MAY,misc,0.09
Agriculture Insurance Co Of India Ltd,FY25,MAY,misc,27.88
Agriculture Insurance Co Of India Ltd,FY24,MAY,misc,11.65
ECGC Ltd,FY25,MAY,misc,196.26
ECGC Ltd,FY24,MAY,misc,190.71
Bajaj Allianz General Insurance Co Ltd,FY25,JUNE,fire,1209.5
Bajaj Allianz General Insurance Co Ltd,FY24,JUNE,fire,1040.25
Cholamandalam MS General Insurance Co Ltd,FY25,JUNE,fire,223.24
Cholamandalam MS General Insurance Co Ltd,FY24,JUNE,fire,242.24
Future Generali India Insurance Co Ltd,FY25,JUNE,fire,289.63
Future Generali India Insurance Co Ltd,FY24,JUNE,fire,216.04
Go Digit General Insurance Ltd,FY25,JUNE,fire,334.9
Go Digit General Insurance Ltd,FY24,JUNE,fire,224.98
HDFC Ergo General Insurance Co Ltd,FY25,JUNE,fire,767.42
HDFC Ergo General Insurance Co Ltd,FY24,JUNE,fire,774.46
ICICI Lombard General Insurance Co Ltd,FY25,JUNE,fire,1468.16
ICICI Lombard General Insurance Co Ltd,FY24,JUNE,fire,1331.23
IFFCO-Tokio General Insurance Co Ltd,FY25,JUNE,fire,423.5
IFFCO-Tokio General Insurance Co Ltd,FY24,JUNE,fire,352.54
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,JUNE,fire,44.92
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,JUNE,fire,28.53
Liberty  General Insurance Co. Ltd,FY25,JUNE,fire,24.03
Liberty  General Insurance Co. Ltd,FY24,JUNE,fire,19.68
Magma General Insurance Limited,FY25,JUNE,fire,108.26
Magma General Insurance Limited,FY24,JUNE,fire,104.53
National Insurance Co Ltd,FY25,JUNE,fire,573.47
National Insurance Co Ltd,FY24,JUNE,fire,405.93
Raheja QBE General Insurance Co Ltd,FY25,JUNE,fire,6.39
Raheja QBE General Insurance Co Ltd,FY24,JUNE,fire,6.25
Reliance General Insurance Co Ltd,FY25,JUNE,fire,675.62
Reliance General Insurance Co Ltd,FY24,JUNE,fire,591.82
Royal Sundaram General Insurance Co Ltd,FY25,JUNE,fire,163.19
